--FTOP110 설비 기준정보--

CORP_CD	GTR_ID	PLC_NM	PLC_CHNL	PLC_ADDR	PLC_TYPE	EQM_IP_ADDR	EQM_IP_PORT	DATA_TYPE	IF_TARGET	ADDR_TAG	DESCR	REG_USER	REG_DATE	UPD_USER	UPD_DATE	USE_YN
A001	ID5007	Device1	Ch1	PX05007	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5010	Device1	Ch1	DW0000	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5011	Device1	Ch1	DW0001	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5012	Device1	Ch1	DW0002	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5013	Device1	Ch1	DW0003	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5014	Device1	Ch1	DW0004	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5015	Device1	Ch1	DW0005	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5016	Device1	Ch1	DW0006	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5017	Device1	Ch1	DW0007	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N

-- Default Setting--

A001	ID0100	PLC	Line1	DW0100	LS	192.168.0.150	4511	DWord	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID0200	PLC	Line1	DW0200	LS	192.168.0.150	4511	DWord	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID0300	PLC	Line2	DW0300	LS	192.168.0.149	4511	DWord	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID0400	PLC	Line2	DW0400	LS	192.168.0.149	4511	DWord	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0010	PLC	Line1	PX00010	LS	192.168.0.150	4511	Bool	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0011	PLC	Line1	PX00011	LS	192.168.0.150	4511	Bool	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0012	PLC	Line1	PX00012	LS	192.168.0.150	4511	Bool	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0020	PLC	Line2	PX00020	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0021	PLC	Line2	PX00021	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0022	PLC	Line2	PX00022	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0100	PLC	Line1	PX00100	LS	192.168.0.150	4511	Bool	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0200	PLC	Line1	PX00200	LS	192.168.0.150	4511	Bool	MES	FTOPClient1	LSClient1Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0300	PLC	Line2	PX00300	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	IP0400	PLC	Line2	PX00400	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	LSClient2Test	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N

-- 

A001	IDM100	PLC	Line1	MX0100	LS	192.168.0.150	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM101	PLC	Line1	MX0101	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM102	PLC	Line1	MX0102	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM103	PLC	Line1	MX0103	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM104	PLC	Line1	MX0104	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM105	PLC	Line1	MX0105	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM106	PLC	Line1	MX0106	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM107	PLC	Line1	MX0107	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM108	PLC	Line1	MX0108	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM109	PLC	Line1	MX0109	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM110	PLC	Line1	MX0110	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	FTOPClient1	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM200	PLC	Line2	MX0200	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM201	PLC	Line2	MX0201	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM202	PLC	Line2	MX0202	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM203	PLC	Line2	MX0203	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM204	PLC	Line2	MX0204	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM205	PLC	Line2	MX0205	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM206	PLC	Line2	MX0206	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM207	PLC	Line2	MX0207	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM208	PLC	Line2	MX0208	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM209	PLC	Line2	MX0209	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
A001	IDM210	PLC	Line2	MX0210	LS	192.168.0.149	4511	Bool	MES	FTOPClient2	FTOPClient2	migration	2016-11-23 10:20:07.127	migration	2016-11-23 10:20:07.127	N
